district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Ghodegaon,Maharashtra,19.20819,73.18672,null,null,null,null,null,null
Vaniyambadi,Tamil Nadu,12.67628,78.61375,null,null,null,null,null,null
Dharamshala,Himachal Pradesh,32.21306,76.31937,null,null,null,null,null,null
Shyamnagar,North 24 Parganas,23.1096,86.80391,null,null,null,null,null,null
Bilasipara,Assam,26.23008,90.23077,null,null,null,null,null,null
Shahabad Markanda,Haryana,30.16242,76.8669,null,null,null,null,null,null
Rishikesh,Uttranchal,30.10726,78.29778,null,null,null,null,null,null
North Guwahati,Assam,26.16018,91.82697,null,null,null,null,null,null
Dongarpada-virar West,Maharashtra,19.45969,72.81076,null,null,null,null,null,null
Nangloi Jat-nangloi,Delhi,28.67753,77.06436,null,null,null,null,null,null
Amloh,Punjab,30.61034,76.23016,null,null,null,null,null,null
Porvorim,Goa,15.53344,73.82376,null,null,null,null,null,null
Una,Gujarat,20.82845,71.04285,null,null,null,null,null,null
Rohini Sector 3,Delhi,28.70568,77.10246,null,null,null,null,null,null
Pampady,Kerala,9.55814,76.63838,null,null,null,null,null,null
Virudhunagar,Tamil Nadu,9.58633,77.96044,null,null,6.4,97.8,50.0,56.9
Hadala Bhal,Gujarat,22.24325,68.96067,null,null,null,null,null,null
Kangra At Tanda,Himachal Pradesh,32.09917,76.29871,null,null,null,null,null,null
Ambattur,Tamil Nadu,12.92132,80.23059,null,null,null,null,null,null
Saravanampatti,Tamil Nadu,11.05713,76.9959,null,null,null,null,null,null
Malerkotla,Sangrur,30.52898,75.88474,null,null,null,null,null,null
Jhunjhunu,Rajasthan,28.11649,75.38864,null,null,null,null,null,null
Mysore,Mysore,13.10425,77.58286,null,null,null,null,null,null
Tadepalligudem,Andhra Pradesh,16.81473,81.52583,null,null,null,null,null,null
Shahapur,Karnataka,15.84554,74.51559,null,null,null,null,null,null
Paprola,Himachal Pradesh,32.06409,76.63297,null,null,null,null,null,null
Samastipur,Bihar,25.51058,85.65579,null,null,11.1,83.4,6.2,60.5
Annur,Tamil Nadu,11.23246,77.10125,null,null,null,null,null,null
Zirakpur,Mohali,30.64893,76.82161,null,null,null,null,null,null
Jamnagar,Green City,22.27327,70.78806,null,null,null,null,null,null
New Panvel,Maharashtra,18.99627,73.12766,null,null,null,null,null,null
Khanapur,Karnataka,19.04015,78.65042,null,null,null,null,null,null
"Pune, Mumbai, Aurangabad, Sangamner",Maharashtra,18.52997,73.83388,null,null,null,null,null,null
Pattukottai,Tamil Nadu,10.42112,79.31787,null,null,null,null,null,null
Khanpur Kolian,Haryana,30.03535,76.8847,null,null,null,null,null,null
